report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Tocantins,TO,False,0.0079,0.0077,0.009300000000000001,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Total,,True,0.00874,0.00805,0.00883,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Rio Grande do Sul,RS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Santa Catarina,SC,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Tocantins,TO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Bahia,BA,False,0.009899999999999999,0.0095,0.0095,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Maranhão,MA,False,0.008199999999999999,0.0068000000000000005,0.0072,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Mato Grosso do Sul,MS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Paraná,PR,False,0.0098,0.0096,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Piauí,PI,False,0.0098,0.0096,0.0096,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Rio Grande do Sul,RS,False,0.0068000000000000005,0.0055000000000000005,0.008,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Santa Catarina,SC,False,0.0096,0.009300000000000001,0.0097,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Tocantins,TO,False,0.01,0.01,0.0098,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,soybeans,2021/22,harvest,Total,,True,0.009389999999999999,0.00908,0.009559999999999999,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
